Plant|Supplier|CompanyCode|PoNumber|PoItem|DeletionIndicator|Material|StorageLocaction|OrderQuantity|OrderUnit|CompletelyDelivered|ItemCreationDate|PurchaseReq|PurchasReqItem|Division|PoType
147A|BEC0AA0|147A|4500061524|01081||D3735801|SL82|1.000|ST||26/07/2023|0030268174|02370|10|YTPL
147A|BEC0AA0|147A|4500061524|01091||D3735701|SL82|1.000|ST||26/07/2023|0030268174|02380|10|YTPL
147A|BEC0AA0|147A|4500061524|01101||D3734901|SL82|1.000|ST||26/07/2023|0030268174|02390|10|YTPL
147A|BEC0AA0|147A|4500061524|01121||D3544602|SL82|1.000|ST||26/07/2023|0030268174|02400|10|YTPL
147A|BEC0AA0|147A|4500061524|01131||D3561802|SL82|1.000|ST||26/07/2023|0030268174|02410|10|YTPL
147A|BEC0AA0|147A|4500061524|01151||D3562002|SL82|1.000|ST||26/07/2023|0030268174|02420|10|YTPL
147A|BEC0AA0|147A|4500061524|01181||D3503402|SL82|1.000|ST||26/07/2023|0030268174|02430|10|YTPL
147A|BEC0AA0|147A|4500061524|01231||D3454203|SL82|1.000|ST||26/07/2023|0030268174|02440|10|YTPL
147A|BEC0AA0|147A|4500061524|01241||D3454303|SL82|1.000|ST||26/07/2023|0030268174|02450|10|YTPL
147A|BEC0AA0|147A|4500061524|01251||D3454403|SL82|1.000|ST||26/07/2023|0030268174|02460|10|YTPL
147A|BEC0AA0|147A|4500061524|01261||D3454502|SL82|1.000|ST||26/07/2023|0030268174|02470|10|YTPL
147A|BEC0AA0|147A|4500061524|01271||D3454702|SL82|1.000|ST||26/07/2023|0030268174|02480|10|YTPL
147A|BEC0AA0|147A|4500061524|01281||D3593000|SL82|1.000|ST||26/07/2023|0030268174|02490|10|YTPL
147A|BEC0AA0|147A|4500061524|01291||D3593100|SL82|1.000|ST||26/07/2023|0030268174|02500|10|YTPL
147A|BEC0AA0|147A|4500061524|01301||D3692001|SL82|1.000|ST||26/07/2023|0030268174|02510|10|YTPL
147A|BEC0AA0|147A|4500061524|01311||D3691800|SL82|1.000|ST||26/07/2023|0030268174|02520|10|YTPL
147A|BEC0AA0|147A|4500061524|01321||D3691701|SL82|1.000|ST||26/07/2023|0030268174|02530|10|YTPL
147A|BEC0AA0|147A|4500061524|01331||D3691601|SL82|1.000|ST||26/07/2023|0030268174|02540|10|YTPL
147A|BEC0AA0|147A|4500061524|01341||D3691501|SL82|1.000|ST||26/07/2023|0030268174|02550|10|YTPL
147A|BEC0AA0|147A|4500061524|01351||D3691401|SL82|1.000|ST||26/07/2023|0030268174|02560|10|YTPL
147A|BEC0AA0|147A|4500061524|01371||D3691200|SL82|1.000|ST||26/07/2023|0030268174|02570|10|YTPL
147A|BEC0AA0|147A|4500061524|01381||D3691101|SL82|1.000|ST||26/07/2023|0030268174|02580|10|YTPL
147A|BEC0AA0|147A|4500061524|01391||D3691001|SL82|1.000|ST||26/07/2023|0030268174|02590|10|YTPL
147A|BEC0AA0|147A|4500061524|01401||D3690801|SL82|1.000|ST||26/07/2023|0030268174|02600|10|YTPL
147A|BEC0AA0|147A|4500061524|01411||D3690601|SL82|1.000|ST||26/07/2023|0030268174|02610|10|YTPL
147A|BEC0AA0|147A|4500061524|01421||D3690501|SL82|1.000|ST||26/07/2023|0030268174|02620|10|YTPL
147A|BEC0AA0|147A|4500061524|01431||D3690401|SL82|1.000|ST||26/07/2023|0030268174|02630|10|YTPL
147A|BEC0AA0|147A|4500061524|01451||D3690201|SL82|1.000|ST||26/07/2023|0030268174|02640|10|YTPL
147A|BEC0AA0|147A|4500061524|01461||D3690101|SL82|1.000|ST||26/07/2023|0030268174|02650|10|YTPL
147A|BEC0AA0|147A|4500061524|01601||D3644502|SL82|1.000|ST||26/07/2023|0030268174|02660|10|YTPL
